topo,maxbond,value
QTT_Seq,3,3.06963558255407
QTT_Seq,6,3.2593166328857466
QTT_Seq,9,3.022099700660488
QTT_Seq,12,2.8118271391756937
QTT_Seq,15,2.7559151334054883
QTT_Seq,18,2.278096221398287
QTT_Seq,21,2.2708063352127823
QTT_Seq,24,1.76983634148467
QTT_Seq,27,1.1416663789489745
QTT_Seq,30,0.6383188340530278
QTT_Seq,33,0.3390307126744801
QTT_Seq,36,0.13667805758747897
QTT_Seq,39,0.04306367414422675
QTT_Seq,42,0.014241106672589968
QTT_Seq,45,0.004364354355290187
QTT_Seq,48,0.0004370197096038544
QTT_Seq,51,0.00010173777134789949
QTT_Seq,54,3.021648944357111e-6
QTT_Seq,57,2.3240000484467645e-7
QTT_Seq,60,1.3278714270048997e-7
BTTN,3,2.9429575019372463
BTTN,6,2.4458789346260277
BTTN,9,1.8228652830469614
BTTN,12,1.4174401343575542
BTTN,15,0.8895414518981987
BTTN,18,0.04770236107254082
BTTN,21,7.374764427187998e-5
BTTN,24,1.2906568854562094e-7
BTTN,27,5.703250906149526e-8
BTTN,30,5.849277384866944e-8
BTTN,33,6.048134790376584e-8
BTTN,36,6.124254899648714e-8
BTTN,39,5.873441207929899e-8
BTTN,42,5.923635827408472e-8
BTTN,45,5.998447146379716e-8
BTTN,48,6.041279545518016e-8
BTTN,51,5.7428802251196025e-8
BTTN,54,5.8748222661971285e-8
BTTN,57,5.7011769260231944e-8
BTTN,60,6.190844390785216e-8
CTTN,3,2.8702930309937864
CTTN,6,2.641145470096584
CTTN,9,2.0170485768099464
CTTN,12,1.4369398024141642
CTTN,15,0.7896480820620638
CTTN,18,0.02991042975861739
CTTN,21,5.362621469525537e-5
CTTN,24,1.1662021292287389e-7
CTTN,27,8.867134911530807e-8
CTTN,30,8.340827117851898e-8
CTTN,33,8.733871709550315e-8
CTTN,36,8.539870001983028e-8
CTTN,39,8.737637724191144e-8
CTTN,42,8.520022613568279e-8
CTTN,45,8.575451012331638e-8
CTTN,48,8.520606144984412e-8
CTTN,51,8.887554606744525e-8
CTTN,54,8.548255689846962e-8
CTTN,57,8.308513529937945e-8
CTTN,60,8.57830839210481e-8
QTT_Int,3,3.1592654039457804
QTT_Int,6,3.0883681030049415
QTT_Int,9,2.7326028463979757
QTT_Int,12,3.0319068085692504
QTT_Int,15,2.6752726025340245
QTT_Int,18,2.71959695672974
QTT_Int,21,2.4211179804390914
QTT_Int,24,2.246835701782905
QTT_Int,27,1.9972346687348557
QTT_Int,30,1.242456139140916
QTT_Int,33,0.9842858265096639
QTT_Int,36,0.7194274629406866
QTT_Int,39,0.4854863550049005
QTT_Int,42,0.25450251858562434
QTT_Int,45,0.1452587235783538
QTT_Int,48,0.06167836136036317
QTT_Int,51,0.029735745051266298
QTT_Int,54,0.00492486655503264
QTT_Int,57,0.0008156067166365001
QTT_Int,60,1.4962739313494978e-7
